Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
AAPL,KO,SPY,AAPL,KO,SPY,AAPL,KO,SPY,AAPL,KO,SPY,AAPL,KO,SPY,AAPL,KO,SPY
180.19094848632812,56.279056549072266,464.92340087890625,182.00999450683594,59.29999923706055,477.7099914550781,182.8800048828125,59.310001373291016,477.8500061035156,177.7100067138672,58.380001068115234,473.8500061035156,177.8300018310547,58.81999969482422,476.29998779296875,104487900,20187300,72668200
177.90406799316406,57.21862030029297,464.7676696777344,179.6999969482422,60.290000915527344,477.54998779296875,182.94000244140625,60.540000915527344,479.9800109863281,179.1199951171875,59.59000015258789,475.5799865722656,182.6300048828125,59.72999954223633,479.2200012207031,99310400,26141600,71178700
173.1718292236328,57.693153381347656,455.8431091308594,174.9199981689453,60.790000915527344,468.3800048828125,180.1699981689453,61.20000076293945,477.9800109863281,174.63999938964844,60.04999923706055,468.2799987792969,179.61000061035156,60.09000015258789,477.1600036621094,94537600,22507300,104538900
170.281005859375,57.38945388793945,455.41485595703125,172.0,60.470001220703125,467.94000244140625,175.3000030517578,61.119998931884766,470.82000732421875,171.63999938964844,60.439998626708984,465.42999267578125,172.6999969482422,60.470001220703125,467.8900146484375,96904000,17902300,86858900
170.44931030273438,57.2565803527832,453.6143798828125,172.1699981689453,60.33000183105469,466.0899963378906,174.13999938964844,60.720001220703125,469.20001220703125,171.02999877929688,60.060001373291016,464.6499938964844,172.88999938964844,60.279998779296875,467.95001220703125,86709100,12307900,85111600
170.46913146972656,57.35149002075195,453.0499572753906,172.19000244140625,60.43000030517578,465.510009765625,172.5,60.81999969482422,465.739990234375,168.1699981689453,60.18000030517578,456.6000061035156,169.0800018310547,60.54999923706055,462.70001220703125,106765600,20954300,119362000
173.33023071289062,57.3704719543457,457.17645263671875,175.0800018310547,60.45000076293945,469.75,175.17999267578125,60.4900016784668,469.8500061035156,170.82000732421875,59.84000015258789,462.04998779296875,172.32000732421875,60.43000030517578,465.2300109863281,76138300,19369600,74303100
173.77572631835938,57.45587921142578,458.4124450683594,175.52999877929688,60.540000915527344,471.0199890136719,177.17999267578125,60.689998626708984,473.20001220703125,174.82000732421875,60.189998626708984,468.94000244140625,176.1199951171875,60.529998779296875,471.5899963378906,74805200,15753800,67605400
170.46913146972656,57.79754638671875,452.09619140625,172.19000244140625,60.900001525878906,464.5299987792969,176.6199951171875,61.040000915527344,472.8800048828125,171.7899932861328,60.38999938964844,463.44000244140625,175.77999877929688,60.540000915527344,472.19000244140625,84505800,14318000,91173100
171.34033203125,58.26258087158203,452.2811279296875,173.07000732421875,61.38999938964844,464.7200012207031,173.77999877929688,61.45000076293945,465.0899963378906,171.08999633789062,60.36000061035156,459.8999938964844,171.33999633789062,60.939998626708984,461.19000244140625,80440800,19729600,95890900
168.10301208496094,57.79754638671875,444.2713623046875,169.8000030517578,60.900001525878906,456.489990234375,172.5399932861328,61.189998626708984,459.9599914550781,169.41000366210938,60.45000076293945,455.30999755859375,171.50999450683594,61.060001373291016,459.739990234375,90956700,21976700,109709100
164.56866455078125,57.892452239990234,439.65826416015625,166.22999572753906,61.0,451.75,171.0800018310547,61.18000030517578,459.6099853515625,165.94000244140625,60.560001373291016,451.4599914550781,170.0,60.65999984741211,458.1300048828125,94815000,18654700,109357600
162.86585998535156,57.655181884765625,434.7920837402344,164.50999450683594,60.75,446.75,169.67999267578125,61.439998626708984,458.739990234375,164.17999267578125,60.720001220703125,444.5,166.97999572753906,61.0,453.75,91420500,23002400,122379700
160.786865234375,57.3704719543457,426.2568359375,162.41000366210938,60.45000076293945,437.9800109863281,166.3300018310547,61.29999923706055,448.05999755859375,162.3000030517578,60.400001525878906,437.95001220703125,164.4199981689453,61.08000183105469,445.55999755859375,122848900,26643200,202271200
160.00474548339844,56.90542984008789,428.0670166015625,161.6199951171875,59.959999084472656,439.8399963378906,162.3000030517578,60.349998474121094,440.3800048828125,154.6999969482422,58.56999969482422,420.760009765625,160.02000427246094,59.900001525878906,432.0299987792969,162294600,30185100,251783900
158.18313598632812,56.77256774902344,422.8407287597656,159.77999877929688,59.81999969482422,434.4700012207031,162.75999450683594,60.04999923706055,439.7200012207031,157.02000427246094,58.689998626708984,427.1499938964844,158.97999572753906,59.36000061035156,433.05999755859375,115798400,19027100,167997300
158.0940399169922,56.56376647949219,421.77996826171875,159.69000244140625,59.599998474121094,433.3800048828125,164.38999938964844,60.349998474121094,444.0400085449219,157.82000732421875,59.209999084472656,428.8599853515625,163.5,59.790000915527344,440.7200012207031,108275300,19190200,186391100
157.62876892089844,56.61122131347656,419.6972351074219,159.22000122070312,59.650001525878906,431.239990234375,163.83999633789062,60.93000030517578,441.5899963378906,158.27999877929688,59.5,429.45001220703125,162.4499969482422,59.880001068115234,438.260009765625,121954600,18893800,149878300
168.62770080566406,57.7406005859375,430.1205749511719,170.3300018310547,60.84000015258789,441.95001220703125,170.35000610351562,60.88999938964844,442.0,162.8000030517578,58.939998626708984,427.82000732421875,165.7100067138672,59.38999938964844,432.67999267578125,179935700,19101500,164457400
